name,lat,lng,elev,level,gpx,weather,_sets
利尻山,45.17861111,141.24194444,,,,,"[""NIHON_100""]"
羅臼岳,44.07583333,145.12222222,,,,,"[""NIHON_100""]"
斜里岳,43.76555556,144.71777778,,,,,"[""NIHON_100""]"
阿寒岳,43.38630556,144.00880556,,,,,"[""NIHON_100""]"
大雪山,43.66358333,142.85413889,,,,,"[""NIHON_100""]"
トムラウシ山,43.52722222,142.84888889,,,,,"[""NIHON_100""]"
十勝岳,43.41805556,142.68638889,,,,,"[""NIHON_100""]"
幌尻岳,42.71944444,142.68277778,,,,,"[""NIHON_100""]"
後方羊蹄山,42.82666667,140.81138889,,,,,"[""NIHON_100""]"
岩木山,40.65588889,140.30308333,,,,,"[""NIHON_100""]"
八甲田山,40.65883333,140.87725,,,,,"[""NIHON_100""]"
八幡平,39.95777778,140.85416667,,,,,"[""NIHON_100""]"
岩手山,39.85255556,141.00102778,,,,,"[""NIHON_100""]"
早池峰山,39.55861111,141.48861111,,,,,"[""NIHON_100""]"
鳥海山,39.09936111,140.04888889,,,,,"[""NIHON_100""]"
月山,38.54888889,140.02694444,,,,,"[""NIHON_100""]"
朝日岳,38.2603,139.922,,,,,"[""NIHON_100""]"
蔵王山,38.141,140.443,,,,,"[""NIHON_100""]"
飯豊山,37.85472222,139.70722222,,,,,"[""NIHON_100""]"
吾妻山,37.73805556,140.14055556,,,,,"[""NIHON_100""]"
安達太良山,37.6333,140.2833,,,,,"[""NIHON_100""]"
磐梯山,37.60111111,140.07222222,,,,,"[""NIHON_100""]"
会津駒ヶ岳,37.04761111,139.35377778,,,,,"[""NIHON_100""]"
那須岳,37.12483333,139.96313889,,,,,"[""NIHON_100""]"
越後駒ヶ岳,37.12361111,139.07527778,,,,,"[""NIHON_100""]"
平ヶ岳,37.0019,139.1708,,,,,"[""NIHON_100""]"
巻機山,36.97861111,138.96416667,,,,,"[""NIHON_100""]"
燧ヶ岳,36.955,139.28527778,,,,,"[""NIHON_100""]"
至仏山,36.90347222,139.17325,,,,,"[""NIHON_100""]"
谷川岳,36.8372,138.9297,,,,,"[""NIHON_100""]"
雨飾山,36.90194444,137.9625,,,,,"[""NIHON_100""]"
苗場山,36.84583333,138.69027778,,,,,"[""NIHON_100""]"
妙高山,36.89127778,138.11341667,,,,,"[""NIHON_100""]"
火打山,36.92277778,138.06805556,,,,,"[""NIHON_100""]"
高妻山,36.8,138.05194444,,,,,"[""NIHON_100""]"
男体山,36.761944444444,139.49388888889,,,,,"[""NIHON_100""]"
日光白根山,36.79861111,139.37583333,,,,,"[""NIHON_100""]"
皇海山,36.69,139.33694444,,,,,"[""NIHON_100""]"
武尊山,36.80527778,139.1325,,,,,"[""NIHON_100""]"
赤城山,36.5608,139.1936,,,,,"[""NIHON_100""]"
草津白根山,36.6453,138.5283,,,,,"[""NIHON_100""]"
四阿山,36.54166667,138.41305556,,,,,"[""NIHON_100""]"
浅間山,36.40638889,138.52305556,,,,,"[""NIHON_100""]"
筑波山,36.22533333,140.10686111,,,,,"[""NIHON_100""]"
両神山,36.02333333,138.84138889,,,,,"[""NIHON_100""]"
雲取山,35.85555556,138.94388889,,,,,"[""NIHON_100""]"
甲武信ヶ岳,35.90888889,138.72888889,,,,,"[""NIHON_100""]"
金峰山,35.87138889,138.62527778,,,,,"[""NIHON_100""]"
瑞牆山,35.89333333333333,138.59194444444444,,,,,"[""NIHON_100""]"
大菩薩嶺,35.74861111,138.84527778,,,,,"[""NIHON_100""]"
丹沢山,35.4742,139.1628,,,,,"[""NIHON_100""]"
富士山,35.36055555555556,138.7275,,,,,"[""NIHON_100""]"
天城山,34.86277778,139.00166667,,,,,"[""NIHON_100""]"
白馬岳,36.75847222,137.75855556,,,,,"[""NIHON_100""]"
五竜岳,36.65833333,137.75277778,,,,,"[""NIHON_100""]"
鹿島槍ヶ岳,36.62444444,137.74694444,,,,,"[""NIHON_100""]"
剱岳,36.62333333,137.61694444,,,,,"[""NIHON_100""]"
立山,36.57583333,137.61972222,,,,,"[""NIHON_100""]"
薬師岳,36.46888889,137.54472222,,,,,"[""NIHON_100""]"
黒部五郎岳,36.3925,137.54,,,,,"[""NIHON_100""]"
黒岳,36.42638889,137.60277778,,,,,"[""NIHON_100""]"
鷲羽岳,36.40305556,137.60527778,,,,,"[""NIHON_100""]"
槍ヶ岳,36.34194444,137.6475,,,,,"[""NIHON_100""]"
穂高岳,36.28916667,137.64805556,,,,,"[""NIHON_100""]"
常念岳,36.32555556,137.7275,,,,,"[""NIHON_100""]"
笠ヶ岳,36.31555556,137.55027778,,,,,"[""NIHON_100""]"
焼岳,36.22694444,137.58694444,,,,,"[""NIHON_100""]"
乗鞍岳,36.10638889,137.55361111,,,,,"[""NIHON_100""]"
御嶽山,35.89277778,137.48027778,,,,,"[""NIHON_100""]"
美ヶ原,36.22579681,138.10744208,,,,,"[""NIHON_100""]"
霧ヶ峰,36.1,138.167,,,,,"[""NIHON_100""]"
蓼科山,36.10361111,138.295,,,,,"[""NIHON_100""]"
八ヶ岳,35.9708,138.37,,,,,"[""NIHON_100""]"
木曽駒ヶ岳,35.78944444,137.80444444,,,,,"[""NIHON_100""]"
空木岳,35.71888889,137.81722222,,,,,"[""NIHON_100""]"
恵那山,35.44361111,137.59722222,,,,,"[""NIHON_100""]"
甲斐駒ヶ岳,35.75777778,138.23666667,,,,,"[""NIHON_100""]"
仙丈ヶ岳,35.72,138.18361111,,,,,"[""NIHON_100""]"
鳳凰山,35.70166667,138.30472222,,,,,"[""NIHON_100""]"
北岳,35.67444444,138.23888889,,,,,"[""NIHON_100""]"
間ノ岳,35.64611111,138.22833333,,,,,"[""NIHON_100""]"
塩見岳,35.57388889,138.18305556,,,,,"[""NIHON_100""]"
荒川岳,35.5006,138.1822,,,,,"[""NIHON_100""]"
赤石岳,35.461111111111,138.15722222222,,,,,"[""NIHON_100""]"
聖岳,35.42277778,138.13972222,,,,,"[""NIHON_100""]"
光岳,35.33816667,138.08377778,,,,,"[""NIHON_100""]"
白山,36.155,136.77138889,,,,,"[""NIHON_100""]"
荒島岳,35.93416667,136.60138889,,,,,"[""NIHON_100""]"
伊吹山,35.41777778,136.40638889,,,,,"[""NIHON_100""]"
大台ヶ原山,34.18527778,136.10916667,,,,,"[""NIHON_100""]"
大峰山,34.25237778,135.94093333,,,,,"[""NIHON_100""]"
大山,35.37111111,133.54,,,,,"[""NIHON_100""]"
剣山,33.85361111,134.09416667,,,,,"[""NIHON_100""]"
石鎚山,33.7675,133.115,,,,,"[""NIHON_100""]"
九重山,33.08583333,131.24888889,,,,,"[""NIHON_100""]"
祖母山,32.828055555556,131.34694444444,,,,,"[""NIHON_100""]"
阿蘇山,32.88416667,131.10388889,,,,,"[""NIHON_100""]"
霧島山,31.93416667,130.86166667,,,,,"[""NIHON_100""]"
開聞岳,31.18,130.52833333,,,,,"[""NIHON_100""]"
宮之浦岳,30.33608333,130.50416667,,,,,"[""NIHON_100""]"
高尾山,35.62527778,139.24361111,,,,,"[""HANA_100""]"
大楠山,35.25,139.62805556,,,,,"[""HANA_100""]"
御前山,35.77008333,139.08063889,,,,,"[""HANA_100""]"
三頭山,35.73861111,139.01416667,,,,,"[""HANA_100""]"
幕山,35.1736,139.0914,,,,,"[""HANA_100""]"
武甲山,35.95166667,139.09777778,,,,,"[""HANA_100""]"
高鈴山,36.62111111,140.58777778,,,,,"[""HANA_100""]"
天城山,34.86277778,139.00166667,,,,,"[""NIHON_100"",""HANA_100""]"
三筋山,35.712,139.7975,,,,,"[""HANA_100""]"
大山,35.37111111,133.54,,,,,"[""NIHON_100"",""HANA_100""]"
川苔山,35.85083333,139.10694444,,,,,"[""HANA_100""]"
雲取山,35.85555556,138.94388889,,,,,"[""NIHON_100"",""HANA_100""]"
地蔵岳,36.5608,139.1936,,,,,"[""HANA_100""]"
黒檜山,36.5608,139.1936,,,,,"[""HANA_100""]"
至仏山,36.90347222,139.17325,,,,,"[""NIHON_100"",""HANA_100""]"
大岳山,35.76513889,139.13041667,,,,,"[""HANA_100""]"
高水山,35.82869444,139.18905556,,,,,"[""HANA_100""]"
鶏頂山,36.90083333,139.76277778,,,,,"[""HANA_100""]"
大菩薩峠,35.73583333,138.85333333,,,,,"[""HANA_100""]"
御岳山,35.78286111,139.1495,,,,,"[""HANA_100""]"
生藤山,35.6725,139.13222222,,,,,"[""HANA_100""]"
石割山,35.45047222,138.90122222,,,,,"[""HANA_100""]"
尾瀬沼,36.925917,139.3045,,,,,"[""HANA_100""]"
八幡平,39.95777778,140.85416667,,,,,"[""NIHON_100"",""HANA_100""]"
大滝根山,37.355,140.70166667,,,,,"[""HANA_100""]"
鎌倉岳,37.46694444,140.68888889,,,,,"[""HANA_100""]"
早池峰山,39.55861111,141.48861111,,,,,"[""NIHON_100"",""HANA_100""]"
田代山,36.97438889,139.4785,,,,,"[""HANA_100""]"
鳥海山,39.09936111,140.04888889,,,,,"[""NIHON_100"",""HANA_100""]"
月山,38.54888889,140.02694444,,,,,"[""NIHON_100"",""HANA_100""]"
羽黒山,38.7008,139.9825,,,,,"[""HANA_100""]"
栗駒山,38.96091667,140.78841667,,,,,"[""HANA_100""]"
安達太良山,37.6333,140.2833,,,,,"[""NIHON_100"",""HANA_100""]"
五葉山,39.20391667,141.72913889,,,,,"[""HANA_100""]"
利尻山,45.17861111,141.24194444,,,,,"[""NIHON_100"",""HANA_100""]"
礼文岳,45.3725,141.01583333,,,,,"[""HANA_100""]"
余市岳,43.03277778,141.01944444,,,,,"[""HANA_100""]"
夕張岳,43.09966667,142.25102778,,,,,"[""HANA_100""]"
大千軒岳,41.57944444,140.16083333,,,,,"[""HANA_100""]"
斜里岳,43.76555556,144.71777778,,,,,"[""NIHON_100"",""HANA_100""]"
大雪山,43.66358333,142.85413889,,,,,"[""NIHON_100"",""HANA_100""]"
アポイ岳,42.10777778,143.02555556,,,,,"[""HANA_100""]"
富良野岳,43.39361111,142.635,,,,,"[""HANA_100""]"
十勝岳,43.41805556,142.68638889,,,,,"[""NIHON_100"",""HANA_100""]"
沼ノ平,37.6333,140.2833,,,,,"[""HANA_100""]"
羅臼岳,44.07583333,145.12222222,,,,,"[""NIHON_100"",""HANA_100""]"
樽前山,42.69055556,141.37669444,,,,,"[""HANA_100""]"
雌阿寒岳,43.38630556,144.00880556,,,,,"[""HANA_100""]"
空沼岳,42.865,141.25361111,,,,,"[""HANA_100""]"
雨竜沼,43.7,141.6,,,,,"[""HANA_100""]"
国師岳,35.87083333,138.67305556,,,,,"[""HANA_100""]"
葦毛湿原,34.74853056,137.45045556,,,,,"[""HANA_100""]"
金峰山,35.87138889,138.62527778,,,,,"[""NIHON_100"",""HANA_100""]"
白山,36.155,136.77138889,,,,,"[""NIHON_100"",""HANA_100""]"
立山,36.57583333,137.61972222,,,,,"[""NIHON_100"",""HANA_100""]"
薬師岳,36.46888889,137.54472222,,,,,"[""NIHON_100"",""HANA_100""]"
黒部五郎岳,36.3925,137.54,,,,,"[""NIHON_100"",""HANA_100""]"
五色ヶ原,36.53888889,137.59444444,,,,,"[""HANA_100""]"
弓折岳,36.34944444,137.59666667,,,,,"[""HANA_100""]"
双六岳,36.37194444,137.58722222,,,,,"[""HANA_100""]"
仙丈ヶ岳,35.72,138.18361111,,,,,"[""NIHON_100"",""HANA_100""]"
根子岳,36.54916667,138.39527778,,,,,"[""HANA_100""]"
苗場山,36.84583333,138.69027778,,,,,"[""NIHON_100"",""HANA_100""]"
霧ノ塔,36.84583333,138.69027778,,,,,"[""HANA_100""]"
守屋山,35.9675,138.09333333,,,,,"[""HANA_100""]"
黒斑山,36.40527778,138.48861111,,,,,"[""HANA_100""]"
浅間山,36.40638889,138.52305556,,,,,"[""NIHON_100"",""HANA_100""]"
槍ヶ岳,36.34194444,137.6475,,,,,"[""NIHON_100"",""HANA_100""]"
白馬岳,36.75847222,137.75855556,,,,,"[""NIHON_100"",""HANA_100""]"
木曽駒ヶ岳,35.78944444,137.80444444,,,,,"[""NIHON_100"",""HANA_100""]"
御嶽山,35.89277778,137.48027778,,,,,"[""NIHON_100"",""HANA_100""]"
西穂高岳,36.27888889,137.62916667,,,,,"[""HANA_100""]"
戸隠山,36.77027778,138.055,,,,,"[""HANA_100""]"
火打山,36.92277778,138.06805556,,,,,"[""NIHON_100"",""HANA_100""]"
縞枯山,36.07527778,138.33138889,,,,,"[""HANA_100""]"
爺ヶ岳,36.58833333,137.75083333,,,,,"[""HANA_100""]"
鹿島槍ヶ岳,36.62444444,137.74694444,,,,,"[""NIHON_100"",""HANA_100""]"
五頭山,37.80094444,139.34566667,,,,,"[""HANA_100""]"
高峰山,36.65128,138.18094,,,,,"[""HANA_100""]"
霧ヶ峰,36.1,138.167,,,,,"[""NIHON_100"",""HANA_100""]"
志賀高原,36.70555556,138.50777778,,,,,"[""HANA_100""]"
浜石岳,35.12011111,138.53352778,,,,,"[""HANA_100""]"
三上山,35.05027778,136.03777778,,,,,"[""HANA_100""]"
藤原岳,35.15861111,136.45277778,,,,,"[""HANA_100""]"
霊仙山,35.27916667,136.38138889,,,,,"[""HANA_100""]"
二上山,34.52555556,135.6775,,,,,"[""HANA_100""]"
葛城山,34.45611111,135.68222222,,,,,"[""HANA_100""]"
愛宕山,35.06,135.63416667,,,,,"[""HANA_100""]"
御池岳,35.17861111,136.415,,,,,"[""HANA_100""]"
大台ケ原山,34.18527778,136.10916667,,,,,"[""HANA_100""]"
大山,35.37111111,133.54,,,,,"[""NIHON_100"",""HANA_100""]"
天狗高原,33.47469444,132.99455556,,,,,"[""HANA_100""]"
東赤石山,33.875,133.375,,,,,"[""HANA_100""]"
横倉山,33.535833333333336,133.20777777777778,,,,,"[""HANA_100""]"
石鎚山,33.7675,133.115,,,,,"[""NIHON_100"",""HANA_100""]"
丸笹山,33.875,134.08888888889,,,,,"[""HANA_100""]"
剣山,33.85361111,134.09416667,,,,,"[""NIHON_100"",""HANA_100""]"
霧島山,31.93416667,130.86166667,,,,,"[""NIHON_100"",""HANA_100""]"
久住山,33.08222222,131.24083333,,,,,"[""HANA_100""]"
祖母山,32.828055555556,131.34694444444,,,,,"[""NIHON_100"",""HANA_100""]"
